id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38048770,The Branch: Converted Garage with Lofted be,280722569,Brandon,,28806,35.59029,-82.62789,Entire home/apt,69,2,1,2019-09-02,1,2,301
38052258,"Charming, newly renovated condo #10 in historic King James Building",167186184,Towns,,28801,35.60379,-82.54807,Entire home/apt,250,1,1,2019-09-05,1,47,343
38052261,New luxury condo in heart of downtown Asheville~55 S. Market #216,167186184,Towns,,28801,35.59376,-82.5502,Entire home/apt,295,1,1,2019-09-02,1,47,328
38070440,"Studio Apartment near Parkway, Trails and Downtown",288906933,Angel,,28803,35.55646,-82.49294,Entire home/apt,70,1,3,2019-09-22,3,1,150
38074026,Killer views and Short Walk to Downtown Asheville!,46570936,Kelly,,28801,35.59406,-82.54336,Entire home/apt,99,2,0,,,2,72
38083681,Stylish Home Near Asheville & Best of Blue Ridge,22101769,Reta,,28704,35.47247,-82.50792,Entire home/apt,165,2,1,2019-09-22,1,1,139
38094039,Cozy Mountain Getaway with Hot Tub,6961396,Dani & Devyn,,28715,35.56045,-82.66203,Entire home/apt,120,2,0,,,3,102
38095780,NEW! ‘Heartwood Cottage’ 2mi to Blue Ridge Parkway,151397468,Evolve,,28803,35.53784,-82.48368,Entire home/apt,210,2,0,,,19,354
38095785,NEW! Quaint Asheville Studio - 4 Mi. to Downtown!,151397468,Evolve,,28804,35.64185,-82.54292,Entire home/apt,160,30,0,,,19,332
38097291,"Charming, newly renovated condo #1 in Historic King James Building",167186184,Towns,,28801,35.60299,-82.54711,Entire home/apt,125,1,1,2019-09-02,1,47,337
38099305,Mountain View Guest Suite,289191377,Athena,,28803,35.53757,-82.47216,Entire home/apt,150,2,0,,,1,47
38101122,* * Pond’s Edge Retreat * *,100789740,Carrie,,28806,35.59285,-82.65801,Entire home/apt,125,2,4,2019-09-22,4,3,59
38101783,Wooded Mountain Getaway,142642840,Tommy,,28732,35.4849,-82.47016,Entire home/apt,198,1,1,2019-09-22,1,2,334
38112873,New Listing! Tranquil Mountain Retreat w/ Studio,149601167,TurnKey Vacation Rentals,,28804,35.62792,-82.52863,Entire home/apt,108,2,0,,,25,347
38123308,"NEW! West Asheville Home w/Patio, 5Mi to Dtwn!",151397468,Evolve,,28806,35.56707,-82.6347,Entire home/apt,155,2,1,2019-09-22,1,19,333
38129233,Studio on Broad,55281380,Joanne,,28801,35.60486,-82.54959,Entire home/apt,99,2,4,2019-09-16,4,1,157
38134911,COZY CLAY ROOM in Downtown Asheville Neighborhood,281471581,Joanie,,28801,35.58715,-82.55054,Private room,49,1,5,2019-09-23,5,4,97
38135882,"Private elevator, Roof top Terrace, New, Luxury Townhome",167186184,Towns,,28801,35.58673,-82.55479,Entire home/apt,295,1,0,,,47,332
38135920,CHARMING & LARGE ROOM > Downtown Eco Homestay,281471581,Joanie,,28801,35.58656,-82.54893,Private room,61,1,3,2019-09-22,3,4,93
38140513,Cozy Carriage House Apartment Near Downtown,11441767,David,,28801,35.60846,-82.55793,Entire home/apt,69,7,0,,,1,93
38151584,UTOPIA THEMED SUITES ~ HOT-TUB ~ RURAL ~ VIEWS,1994122,Marc & Fay,,28805,35.61133,-82.52573,Entire home/apt,400,1,0,,,9,142
38152084,"Plants, Art and Hot Tub: 2.5M from Asheville",276924989,Düstin,,28804,35.62091,-82.57155,Private room,29,1,1,2019-09-02,1,2,165
38155734,Blue Mountain Villa,71812166,Heidi & Ricky,,28704,35.47731,-82.5691,Entire home/apt,200,3,0,,,6,362
38166312,HISTORIC MONTFORD /SLEEPS 8 -WALK TO TOWN!,289999622,Brooke,,28801,35.60162,-82.56349,Entire home/apt,485,3,0,,,1,127
38178700,Charming duplex 2 miles from downtown,9017645,Sarah,,28804,35.61965,-82.55993,Entire home/apt,165,1,0,,,2,254
38182048,Brand New Luxury Condo in Downtown Asheville,17533099,Stephen,,28801,35.5942,-82.55017,Entire home/apt,190,2,0,,,1,140
38209611,COMFORTABLE COZY CLOSE TO DOWNTOWN,290336831,Robert,,28805,35.59578,-82.48124,Entire home/apt,130,2,2,2019-09-22,2,1,157
38214746,Asheville home near Blue Ridge Parkway *No Shower*,150024808,Sheri,,28805,35.6083,-82.46826,Entire home/apt,71,1,0,,,1,61
38217215,Serenity Now!,11458618,Becky And Matt,,28803,35.57507,-82.53597,Entire home/apt,78,2,3,2019-09-25,3,1,140
38260042,Bent Creek Haven: Where the city meets the forest,187685577,Karen,,28806,35.51066,-82.6095,Entire home/apt,125,2,0,,,1,129
38260663,Creek-side retreat in the Heart of West Asheville,121549010,Andra,,28806,35.57301,-82.60071,Entire home/apt,78,2,0,,,1,117
38266279,West Asheville Urban Homestead Cottage,216145693,Mari,,28806,35.5716,-82.57939,Entire home/apt,110,1,4,2019-09-26,4,1,128
38288393,"New, luxury condo located in heart of downtown Asheville~55 S. Market #201",167186184,Towns,,28801,35.59279,-82.55041,Entire home/apt,395,1,0,,,47,317
38296616,Little Mountain House,291178545,Evan,,28806,35.5668,-82.59422,Entire home/apt,95,28,0,,,1,42
38296909,The Garden Suite + Private Bath With Jacuzzi Tub,48566367,Jack,,28806,35.59195,-82.62747,Private room,45,1,1,2019-09-15,1,2,355
38297232,Upstairs Master Bedroom + Private Bath: The Nest,48566367,Jack,,28806,35.59075,-82.62779,Private room,45,1,0,,,2,356
38298383,"East Asheville Views, Fire Pit, Parkway,Large Home",189799819,Michael&Kerrie,,28803,35.55062,-82.46841,Entire home/apt,230,2,0,,,2,342
38298493,Country tranquility just minutes from downtown,8916884,Brendan,,28805,35.61402,-82.52361,Entire home/apt,120,2,1,2019-09-22,1,1,101
38305889,Home Sweet Home <3,274363074,Reagan,,28704,35.45644,-82.5055,Private room,80,1,0,,,1,179
38322547,Beautiful new garden apartment with outdoor tub,3838067,Anna,,28806,35.58313,-82.57653,Entire home/apt,160,2,0,,,1,139
38343217,"Vegetarian, non-smoking clean home.",33911036,Soorya,,28804,35.62874,-82.58681,Private room,40,1,2,2019-09-22,2,1,161
38358756,Secluded Asheville Hillside Hide-Away,84896326,Dewey And CJ,,28803,35.49428,-82.51438,Entire home/apt,80,1,2,2019-09-21,2,1,122
38358957,Bright and Sunny Bedroom in our Home!,110864318,Aimee,,28806,35.54321,-82.59848,Private room,55,2,0,,,2,55
38367951,New Listing! Updated Retreat w/ Private Backyard,149601167,TurnKey Vacation Rentals,,28803,35.55319,-82.51842,Entire home/apt,142,2,0,,,25,347
38379294,East Asheville Home with Superb Mountain Views,30985020,Michelle,,28805,35.61394,-82.48752,Entire home/apt,300,3,0,,,1,313
