id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,super cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21858,4.3985,Hotel room,145,1,1,2015-05-06,0.02,4,244
116134,Trendy Vacation Apartment Antwerp,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,86,2019-09-02,0.93,1,327
200420,appartement close to city center & sports palace .,979985,Malik,,Stuivenberg,51.22636,4.43119,Private room,24,1,58,2019-09-23,5.47,1,165
224333,Large stylish room in 1930s house + garden,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,19,14,1,2011-09-19,0.01,2,0
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,105,2,292,2019-09-08,3.16,1,335
328911,Large Modern Apt W Great Park Views,1263814,Tinne,,Stadspark,51.21078,4.4105,Entire home/apt,55,28,57,2019-09-14,0.62,1,358
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,45,3,49,2019-08-30,0.55,2,302
366252,ROOM IN FAMILY HOME near C. Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,31,2,103,2018-08-04,1.13,4,300
366325,"The Blue, A Pink and A Yelow Room",1820186,Fronk & Lieve,,Borgerhout Intra Muros Zuid,51.21398,4.4328,Private room,30,2,48,2019-09-08,0.60,4,355
445201,ROOM in FAMILY HOME near C.Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21579,4.43265,Private room,30,30,52,2019-01-31,0.58,4,320
465282,Romantic Cheap Appartment Antwerp ,2311105,Ramona,,Harmonie,51.2014,4.40649,Entire home/apt,48,2,16,2015-05-19,0.19,1,0
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,195,2,2,2017-10-27,0.04,1,365
553618,NEW YORK STYLE LOFT IN ANTWERP,2283505,Kevin,,Eilandje,51.23183,4.40478,Entire home/apt,150,2,2,2013-12-12,0.03,1,362
569956,2p Flat in Antwerp's City Center,2804839,Nele,,Historisch Centrum,51.22287,4.40404,Entire home/apt,60,2,7,2019-08-28,0.11,2,0
